Date,Price,Prediction,Confidence,Risk,Actual,Outcome,Types
2023-12-11,16201.49,NEUTRAL,50.0,43.86819484240687,0.94,NEUTRAL,B:3/E:3
2024-01-10,16097.28,NEUTRAL,50.0,46.13107822410147,4.54,NEUTRAL,B:4/E:2
2024-02-09,15746.58,NEUTRAL,50.0,53.192904656319286,17.73,BULLISH,B:3/E:3
2024-03-10,16353.39,NEUTRAL,50.0,43.35748792270532,12.31,BULLISH,B:3/E:1
2024-04-09,16828.07,NEUTRAL,50.0,58.201701093560146,4.14,NEUTRAL,B:2/E:2
2024-05-09,18537.81,NEUTRAL,50.0,52.801358234295414,-8.95,NEUTRAL_BEARS,B:3/E:2
2024-06-08,18366.95,BULLISH,66.4,33.58208955223881,-5.02,NEUTRAL_BEARS,B:4/E:2
2024-07-08,17524.06,BULLISH,61.1,38.913043478260875,29.75,BULLISH,B:4/E:1
2024-08-07,16877.86,NEUTRAL,50.0,41.46586345381526,24.46,BULLISH,B:3/E:2
2024-09-06,17444.30,NEUTRAL,50.0,55.18134715025907,12.13,BULLISH,B:2/E:2
2024-10-06,22736.87,BULLISH,62.7,37.32510288065844,-13.09,BEARISH,B:5/E:2
2024-11-05,21006.97,BULLISH,64.1,35.89665653495441,-3.76,NEUTRAL,B:3/E:3
2024-12-05,19560.44,NEUTRAL,50.0,50.41899441340782,20.62,BULLISH,B:3/E:1
2025-01-04,19760.27,NEUTRAL,50.0,61.2625538020086,15.64,BULLISH,B:2/E:2
2025-02-03,20217.26,BULLISH,62.4,37.572419420644636,11.31,BULLISH,B:4/E:2
2025-03-05,23594.21,BULLISH,68.6,31.38266796494645,-0.35,NEUTRAL,B:3/E:3
2025-04-04,22849.81,BULLISH,73.7,26.336336336336345,5.34,NEUTRAL_BULLS,B:4/E:2
2025-05-04,22504.68,NEUTRAL,50.0,52.670993509735396,8.90,NEUTRAL_BULLS,B:4/E:2
2025-06-03,23512.49,BEARISH,69.0,69.0162980209546,8.95,NEUTRAL_BULLS,B:3/E:2
2025-07-03,24069.94,BULLISH,73.7,26.29893238434164,11.57,BULLISH,B:4/E:1
2025-08-02,24507.81,BULLISH,64.2,35.761904761904766,5.71,NEUTRAL_BULLS,B:3/E:2
2025-09-01,25617.42,BULLISH,62.1,37.8844169246646,0.94,NEUTRAL,B:3/E:2
2025-10-01,26855.56,BULLISH,68.9,31.107745564690617,-3.73,NEUTRAL,B:4/E:2
2025-10-31,25906.65,BULLISH,64.3,35.684147076552144,7.96,NEUTRAL_BULLS,B:3/E:1
2025-11-30,25858.89,NEUTRAL,50.0,42.65734265734266,2.14,NEUTRAL,B:3/E:2
2025-12-30,25854.60,NEUTRAL,50.0,40.809248554913296,2.16,NEUTRAL,B:3/E:1
2026-01-29,27968.09,BEARISH,65.1,65.07215007215007,-5.56,NEUTRAL_BEARS,B:5/E:2
